aton_type,value,system,systemIdType
MAIL,MAILING,PORTICO,ADDRESS
BILLING,BILLING,PORTICO,ADDRESS
DIR,MAIN,PORTICO,ADDRESS
LIAB_HOSP,LIAB HOSP,PORTICO,ADDRESS
CONT_ADMIN,CA,PORTICO,CONTACT
UTL_MGMT,UM,PORTICO,CONTACT
PROV_ENGMT_DIR,PED,PORTICO,CONTACT
MED_DIR,M,PORTICO,CONTACT
REG_NET_MGR,RNM,PORTICO,CONTACT
CRED_COORD,CC,PORTICO,CONTACT
PROV_NET_CNT_SPEC,PNCS,PORTICO,CONTACT
PRV_ENGMT_MGR,PEM,PORTICO,CONTACT
PROV_REL_CNT_SPEC,PRCS,PORTICO,CONTACT
CLI_DIR,CD,PORTICO,CONTACT
EXE_CNT,EC,PORTICO,CONTACT
OFF_MGR,OM,PORTICO,CONTACT
PROV,P,PORTICO,CONTACT
BILLING,B,PORTICO,CONTACT
