code,value,description
OCD,OBSESSIVE COMPULSIVE D/O,OBSESSIVE COMPULSIVE D/O
DISABLED,Disabled,Disabled
ADD_MED,Addictive Medicine,Addictive Medicine
ADOL_BEH,Adolescent Behavior Disorders,Adolescent Behavior Disorders
ADOPTION,Adoption Issues,Adoption Issues
ANGER_MGMT,Anger Management,Anger Management
ATTACH_DISORDER,Attachment Disorder,Attachment Disorder
AUT_ASP,Autism/Aspergers,Autism/Aspergers
BIPOLAR,Bipolar Disorders,Bipolar Disorders
BT,Brief Therapy,Brief Therapy
CHEM_DEP,Chemical Dependency,Chemical Dependency
CHD_PRNT_BOND,Child/Parent Bonding,Child/Parent Bonding
CHRIS_SPIRIT,Christian Spiritual,Christian Spiritual Growth Counseling
COG_DISORDER,Cognitive Disorder,Cognitive Disorder
CONCUSSION,Concussion,Concussion
CRIM_OFF,Criminal Offenders,Criminal Offenders
CRISIS_STAB,Crisis Stabilization,Crisis Stabilization Services
DEMENTIA,Dementia Disorder,Dementia Disorder
DEV_DISORDER,Development Disorder,Development Disability/Disorder
DISRUPTIVE_BEH,Disruptive Behavior,Disruptive Behavior
DISSOC_DISORDER,Dissociative Disorder,Dissociative Disorder
DUAL_DIAG,Dual Diagnosis,Dual Diagnosis
EQU_ASSIST_TH,Equine Assisted Therapy,Equine Assisted Therapy
FAM_DYS,Family Dysfunction,Family Dysfunction
FEED_DISORDER,Feeding Disorders,Feeding Disorders
GENDER_ID_ISSUES,Gender Identity Issues,Gender Identity Issues
GRF_LOSS_BREAV,Grief/Loss/Bereavement,Grief/Loss/Bereavement
HEAD_TRAUME,Head Trauma,Head Trauma
HOME_VISITS,Home Visits,Home Visits
INPAT_ATTEND,Inpatient Attending,Inpatient Attending
INPAT_CONSULT,Inpatient Consult MD,Inpatient Consult MD
LEARN_DISAB,Learning Disability,Learning Disability
MARITAL_ISSUES,Marital Issues,Marital Issues
MED_EVAL,Medical Evaluation,Medical Evaluation
MEN_ISSUES,Men Issues,Men Issues
IDD,Intellectual or Developmental Disability (IDD),Intellectual or Developmental Disability (IDD)
ODD,Oppositional Defiant Disorder,Oppositional Defiant Disorder
OMD,Organic Mental Disorder,Organic Mental Disorder
PAN_DISORDER,Panic Disorder,Panic Disorder
PHOB,Phobias,Phobias
PHY_ABUSE,Physical Abuse,Physical Abuse
PPD,Post Partum Disorder,Post Partum Disorder
RAD,Reactive Attachment Disorder,Reactive Attachment Disorder
REL_PREV,Relapse Prevention,Relapse Prevention
SEL_INJURY,Self Injury,Self Injury
SERIOUS_AODS,Serious/Persistent Mental Illness,Serious/Persistent Mental Illness
SEX_DIS,Sexual Disorders,Sexual Disorders
SEX_INCEST,Sexual Abuse/Incest,Sexual Abuse/Incest
SEX_OFFENDERS,Sexual Offenders,Sexual Offenders
SLE_DIS,Sleep Disorder,Sleep Disorder
STE_STEP,Step/Blended Families,Step/Blended Families
SUB_ABUSE,Substance Abuse,Substance Abuse
SUIC,Suicide,Suicide
TOB_TOBACCO,Tobacco Cessation,Tobacco Cessation
WOM_ISSUES,Women Issues,Women Issues
HIV_AODS,HIV/AIDS,HIV/AIDS
FL_ADOL_CHD_ISSUES,FL ADOLESCENT/CHILDRENS ISSUES (2YR CLINICAL EXP),FL ADOLESCENT/CHILDRENS ISSUES (2YR CLINICAL EXP)
FL_ADOP_ATTACH,FL ADOPTION/ATTACHMENT ISSUES (2YR CLINICAL EXP),FL ADOPTION/ATTACHMENT ISSUES (2YR CLINICAL EXP)
