aton_type,value,system,systemIdType
OCD,OBSES COMP,PORTICO,DISORDERS
DISABLED,Disabled,PORTICO,DISORDERS
ADD_MED,ADD MED,PORTICO,DISORDERS
ADOL_BEH,ADOLESCENT BEHAVIOR,PORTICO,DISORDERS
ADOPTION,ADOPTION,PORTICO,DISORDERS
ANGER_MGMT,ANGER MAN,PORTICO,DISORDERS
ATTACH_DISORDER,ATTACHMENT DIS,PORTICO,DISORDERS
AUT_ASP,AUT/ASP,PORTICO,DISORDERS
BIPOLAR,BIPOLAR,PORTICO,DISORDERS
BT,BRIEF,PORTICO,DISORDERS
CHEM_DEP,CHEM DEP,PORTICO,DISORDERS
CHD_PRNT_BOND,Child/Parent Bonding,PORTICO,DISORDERS
CHRIS_SPIRIT,CHRISTIAN SPIRITUAL,PORTICO,DISORDERS
COG_DISORDER,Cognitive Disorder,PORTICO,DISORDERS
CONCUSSION,Concussion,PORTICO,DISORDERS
CRIM_OFF,Criminal Offenders,PORTICO,DISORDERS
CRISIS_STAB,CRISIS STAB,PORTICO,DISORDERS
DEMENTIA,DEMENTIA,PORTICO,DISORDERS
DEV_DISORDER,DEVELOPMENT DISORDER,PORTICO,DISORDERS
DISRUPTIVE_BEH,DISRUPTIVE,PORTICO,DISORDERS
DISSOC_DISORDER,DISSOCIATIVE DIS,PORTICO,DISORDERS
DUAL_DIAG,DUAL DX,PORTICO,DISORDERS
EQU_ASSIST_TH,EQUINE ASS THER,PORTICO,DISORDERS
FAM_DYS,FAMILY DYS,PORTICO,DISORDERS
FEED_DISORDER,FEEDING,PORTICO,DISORDERS
GENDER_ID_ISSUES,GENDER IDENTITY,PORTICO,DISORDERS
GRF_LOSS_BREAV,GRIEF / LOSS / BEREA,PORTICO,DISORDERS
HEAD_TRAUME,Head Trauma,PORTICO,DISORDERS
HOME_VISITS,Home Visits,PORTICO,DISORDERS
INPAT_ATTEND,INPATIENT ATT,PORTICO,DISORDERS
INPAT_CONSULT,INPATIENT CONSLT MD,PORTICO,DISORDERS
LEARN_DISAB,LD,PORTICO,DISORDERS
MARITAL_ISSUES,Marital Issues,PORTICO,DISORDERS
MED_EVAL,MED EVA HSP,PORTICO,DISORDERS
MEN_ISSUES,MENS ISSUES,PORTICO,DISORDERS
IDD,IDD,PORTICO,DISORDERS
OCD,OCD,PORTICO,DISORDERS
ODD,ODD,PORTICO,DISORDERS
OMD,ORGANIC DIS,PORTICO,DISORDERS
PAN_DISORDER,Panic Disorder,PORTICO,DISORDERS
PHOB,Phobias,PORTICO,DISORDERS
PHY_ABUSE,Physical Abuse,PORTICO,DISORDERS
PPD,POST PART DIS,PORTICO,DISORDERS
RAD,REACTIVE ATT DIS,PORTICO,DISORDERS
REL_PREV,RELAPSE PREV,PORTICO,DISORDERS
SEL_INJURY,Self Injury,PORTICO,DISORDERS
SERIOUS_AODS,SERIOUS/PERSISTENT,PORTICO,DISORDERS
SEX_DIS,SEX DIS,PORTICO,DISORDERS
SEX_INCEST,SEXUAL ABUSE/INCEST,PORTICO,DISORDERS
SEX_OFFENDERS,Sexual Offenders,PORTICO,DISORDERS
SLE_DIS,SLEEP DIS,PORTICO,DISORDERS
STE_STEP,STEP,PORTICO,DISORDERS
SUB_ABUSE,Substance Abuse,PORTICO,DISORDERS
SUIC,Suicide,PORTICO,DISORDERS
TOB_TOBACCO,TOBACCO,PORTICO,DISORDERS
WOM_ISSUES,WOMENS ISSUES,PORTICO,DISORDERS
HIV_AODS,HIV/AIDS,PORTICO,DISORDERS
FL_ADOL_CHD_ISSUES,FL ADOL/CHILD ISSUES,PORTICO,DISORDERS
FL_ADOP_ATTACH,FL ADOPT/ATTACH,PORTICO,DISORDERS
FL_BH_ANALYSIS,FL BEHAV ANALYSIS,PORTICO,DISORDERS
FL_BH_MGMT_ALT_TH,FL BEHAV MGMT/ALT TH,PORTICO,DISORDERS
FL_CHD_PRO_FOS_CARE,FL CHILD PROT/F CARE,PORTICO,DISORDERS
FL_CRT_ORD_MNTL_ISS,FL COURT ORDERED ISS,PORTICO,DISORDERS
FL_DEV_DISAB,FL DEVELOPMENTAL DIS,PORTICO,DISORDERS
FL_DOM_VIO_AD,FL DOM VIOLENCE AD,PORTICO,DISORDERS
FL_DOM_VIO_CHD,FL DOM VIOLENCE CH,PORTICO,DISORDERS
FL_DUAL_DIAG_MEN_DD,FL DUAL DX MENTAL/DD,PORTICO,DISORDERS
FL_DUAL_DIAG_MEN_SS,FL DUAL DX MENTAL/SA,PORTICO,DISORDERS
FL_EAT_DISORDER,FL EATING DISORDERS,PORTICO,DISORDERS
FL_EXPRT_WIT,FL EXPERT WITNESS,PORTICO,DISORDERS
FL_GEN_ISS,FL GENDER/SEXUAL ISS,PORTICO,DISORDERS
FL_GER_AG_ISS,FL GERIATRIC/AGING,PORTICO,DISORDERS
FL_PTSD,FL PTSD/PTSS,PORTICO,DISORDERS
FL_SEP_GRF,FL SEP GRIEF/LOSS,PORTICO,DISORDERS
FL_SEX_ABS_A,FL SEX/PHY ABUSE A,PORTICO,DISORDERS
FL_SEX_ABS_C,FL SEX/PHY ABUSE C,PORTICO,DISORDERS
FL_VIC_PERP_CRIME,FL VIC/PERP VIOLENCE,PORTICO,DISORDERS
FL_VIC_SEX_ABUSE,FL VICTIMS/SEXUAL AB,PORTICO,DISORDERS
COD,Co-Occurring Disorders,PORTICO,DISORDERS
EMTL,Emotional,PORTICO,DISORDERS
BH,Behavioral,PORTICO,DISORDERS
MOB,Mobility,PORTICO,DISORDERS
COD,CD,PORTICO,DISORDERS
CI,CI,PORTICO,DISORDERS
DHH,HH,PORTICO,DISORDERS
HL,HL,PORTICO,DISORDERS
SMI,MI,PORTICO,DISORDERS
OAS,OS,PORTICO,DISORDERS
PHY_DIS,PD,PORTICO,DISORDERS
VIS_IMP,VI,PORTICO,DISORDERS
GER_AGE_ISS,GERIATRIC AGING ISSUES,PORTICO,DISORDERS
