code,value,classification,description
TOB,Treatement for tobacco issues,TREATMENT_MODALITIES,Treatement for tobacco issues
SEN_PRO_INT,Sensory Processing/Integration,TREATMENT_MODALITIES,Sensory Processing/Integration
SEC_ADD,Sexual Compulsions/Addictions,TREATMENT_MODALITIES,Sexual Compulsions/Addictions
SEX_TH,Sex Therapy,TREATMENT_MODALITIES,Sex Therapy
SOL_EMP,Solution Empowerment Therapy,TREATMENT_MODALITIES,Solution Empowerment Therapy
TOB_CES,Tobacco Cessation,TREATMENT_MODALITIES,Tobacco Cessation
TRA_FOC,Trauma Focused,TREATMENT_MODALITIES,Trauma Focused
WEG_MGMT,Weight Management,TREATMENT_MODALITIES,Weight Management
GES,Gestalt,TREATMENT_MODALITIES,Gestalt
MOOD_DIS,Treatment of Mood disorders,TREATMENT_MODALITIES,Treatment of Mood disorders
PLAY_TH,Play Therapy,TREATMENT_MODALITIES,Play Therapy
ABA,Applied Behavior Analysis (ABA),TREATMENT_MODALITIES,Applied Behavior Analysis (ABA)
ADHD_TEST,ADD/ADHD Testing,TREATMENT_MODALITIES,ADD/ADHD Testing
ADD_DIS,Treatment of additive disorders,TREATMENT_MODALITIES,Treatment of additive disorders
ADO_PSY,Adolescent Psychotherapy,TREATMENT_MODALITIES,Adolescent Psychotherapy
ADO_SEX_OFF,Adolescent Sex Offender,TREATMENT_MODALITIES,Adolescent Sex Offender
ADO_PSY,Adolescent Psychiatry,TREATMENT_MODALITIES,Adolescent Psychiatry
ADO_ISS,Adoption Issues,TREATMENT_MODALITIES,Adoption Issues
ALC_ASSESS,Alcohol/SA Assessments,TREATMENT_MODALITIES,Alcohol/SA Assessments
ALC_TRT,Alcohol/SA Treatment,TREATMENT_MODALITIES,Alcohol/SA Treatment
ANG_MGMT,Anger Management,TREATMENT_MODALITIES,Anger Management
ART_TH,Art Therapy,TREATMENT_MODALITIES,Art Therapy
ATT_TH,Attachment Therapy,TREATMENT_MODALITIES,Attachment Therapy
BH_TH,Behavioral Therapy,TREATMENT_MODALITIES,Behavioral Therapy
CHD_PSY_TES,Child Psychological Testing,TREATMENT_MODALITIES,Child Psychological Testing
CHD_PSY,Child Psychiatry,TREATMENT_MODALITIES,Child Psychiatry
CHR_COUN,Christian Counseling,TREATMENT_MODALITIES,Christian Counseling
CLI_CTR_TH,Client Center Therapy,TREATMENT_MODALITIES,Client Center Therapy
CRI_INT,Crisis Intervention,TREATMENT_MODALITIES,Crisis Intervention
CRI_STB,Crisis Stabilization,TREATMENT_MODALITIES,Crisis Stabilization
DBT,Dialectical Behavioral Therapy,TREATMENT_MODALITIES,Dialectical Behavioral Therapy
DEV_EVAL,Developmental Evaluation,TREATMENT_MODALITIES,Developmental Evaluation
DOM_VIO,Domestic Violence,TREATMENT_MODALITIES,Domestic Violence
GER_PSY,Geriatric Psychiatry,TREATMENT_MODALITIES,Geriatric Psychiatry
IFI,Intensive Family Intervention,TREATMENT_MODALITIES,Intensive Family Intervention
INT_ASSESS,Intake Assessment,TREATMENT_MODALITIES,Intake Assessment
INT_OP,Intensive Outpatient,TREATMENT_MODALITIES,Intensive Outpatient
MET_MED_SER,Methadone/Suboxone Medication Services,TREATMENT_MODALITIES,Methadone/Suboxone Medication Services
