aton_type,value,system,systemIdType
TOB,TOBACCO,PORTICO,TREATMENT_MODALITIES
SEN_PRO_INT,SEN PROC/SEN INT,PORTICO,TREATMENT_MODALITIES
SEC_ADD,SEX COMP/ADD,PORTICO,TREATMENT_MODALITIES
SEX_TH,SEX THER,PORTICO,TREATMENT_MODALITIES
SOL_EMP,SOLUTION EMPOWERMENT,PORTICO,TREATMENT_MODALITIES
TOB_CES,WI SMOK/TOBA CESS,PORTICO,TREATMENT_MODALITIES
TRA_FOC,TRAUMA FOCUSED,PORTICO,TREATMENT_MODALITIES
WEG_MGMT,WEIGHT MGMT,PORTICO,TREATMENT_MODALITIES
GES,Gestalt,PORTICO,TREATMENT_MODALITIES
MOOD_DIS,MOOD,PORTICO,TREATMENT_MODALITIES
PLAY_TH,PLAY,PORTICO,TREATMENT_MODALITIES
ABA,ABA,PORTICO,TREATMENT_MODALITIES
ADHD_TEST,ADD TEST,PORTICO,TREATMENT_MODALITIES
ADD_DIS,ADDICTIVE,PORTICO,TREATMENT_MODALITIES
ADO_PSY,ADOL PSYCHOTHERAPY,PORTICO,TREATMENT_MODALITIES
ADO_SEX_OFF,ADOLES SEX OFFENDER,PORTICO,TREATMENT_MODALITIES
ADO_PSY,ADOLESCENT PSYCH,PORTICO,TREATMENT_MODALITIES
ADO_ISS,ADOPTION,PORTICO,TREATMENT_MODALITIES
ALC_ASSESS,ALCOHOL/SA ASSESSMEN,PORTICO,TREATMENT_MODALITIES
ALC_TRT,ALCOHOL/SA TREATMENT,PORTICO,TREATMENT_MODALITIES
ANG_MGMT,ANGER,PORTICO,TREATMENT_MODALITIES
ART_TH,ART THER,PORTICO,TREATMENT_MODALITIES
ATT_TH,ATTACHMENT THER,PORTICO,TREATMENT_MODALITIES
BH_TH,BEHAVIORAL THER,PORTICO,TREATMENT_MODALITIES
CHD_PSY_TES,CHILD PSYCH TEST,PORTICO,TREATMENT_MODALITIES
CHD_PSY,Child Psychiatry,PORTICO,TREATMENT_MODALITIES
CHR_COUN,CHRISTIAN,PORTICO,TREATMENT_MODALITIES
CLI_CTR_TH,CLIENT CTR THRPY,PORTICO,TREATMENT_MODALITIES
CRI_INT,CRISIS INT,PORTICO,TREATMENT_MODALITIES
CRI_STB,CRISIS STABILIZATION,PORTICO,TREATMENT_MODALITIES
DBT,DBT,PORTICO,TREATMENT_MODALITIES
DEV_EVAL,DEV EVAL,PORTICO,TREATMENT_MODALITIES
DOM_VIO,DOMESTIC,PORTICO,TREATMENT_MODALITIES
GER_PSY,Geriatric Psychiatry,PORTICO,TREATMENT_MODALITIES
IFI,IFI,PORTICO,TREATMENT_MODALITIES
INT_ASSESS,Intake Assessment,PORTICO,TREATMENT_MODALITIES
INT_OP,INTENS OUTPT,PORTICO,TREATMENT_MODALITIES
MET_MED_SER,METHADONE/SUBOXONE,PORTICO,TREATMENT_MODALITIES
NLP,NLP,PORTICO,TREATMENT_MODALITIES
OUT_ORT_TH,OUT ORIENT THRPY,PORTICO,TREATMENT_MODALITIES
PAIN_MGMT,Pain Management,PORTICO,TREATMENT_MODALITIES
PAR_CHD_TH,PARENT THER,PORTICO,TREATMENT_MODALITIES
PSYCHOANALYTIC,PSYCHOANALYTIC,PORTICO,TREATMENT_MODALITIES
