Value,Short Description,Long Description,Issuer,Acronym,applicableEntities,ReferenceURL
AAAASF Accreditation,American Association for Accreditation of Ambulatory Surgery Facilities,"Accreditation from the American Association for Accreditation of Ambulatory Surgery Facilities, verifying that an outpatient surgery or procedural facility meets nationally recognized standards for safety and quality of care.",American Association for Accreditation of Ambulatory Surgery Facilities,AAAASF,Organization,https://www.quada.org/
AAAHC Accreditation,Accreditation Association for Ambulatory Health Care,"Accreditation from the Accreditation Association for Ambulatory Health Care, showing that an ambulatory care organization meets nationally recognized standards for patient care and safety.",Accreditation Association for Ambulatory Health Care,AAAHC,Organization,https://www.aaahc.org/
AASM Accreditation,American Academy of Sleep Medicine,"Accreditation from the American Academy of Sleep Medicine, verifying that a sleep center or lab meets quality standards for diagnosing and treating sleep disorders.",American Academy of Sleep Medicine,AASM,Organization,https://aasm.org/accreditation/
ABCPO Accreditation,"American Board for Certification in Orthotics, Prosthetics & Pedorthics","Accreditation by the American Board for Certification in Orthotics, Prosthetics & Pedorthics, ensuring that facilities and practitioners meet standards for providing orthotic, prosthetic, and pedorthic care.","American Board for Certification in Orthotics, Prosthetics & Pedorthics",ABCPO,Organization,https://www.abcop.org/
ACHC Accreditation,Accreditation Commission for Health Care,"Accreditation by the Accreditation Commission for Health Care, confirming that a healthcare organization meets standards for quality, safety, and performance across services like home health, hospice, and pharmacies.",Accreditation Commission for Health Care,ACHC,Organization,https://achc.org/
ACR Accreditation,American College of Radiology,"Accreditation by the American College of Radiology, validating that imaging facilities (e.g., MRI, CT, mammography) meet standards for image quality, staff qualifications, equipment, and safety.",American College of Radiology,ACR,Organization,https://www.acr.org/Accreditation
AHCA Accreditation,Agency for Health Care Administration (Florida),"Accreditation by the American Health Care Association, recognizing long-term care, assisted living, and rehabilitation facilities that meet quality standards for resident care.",Agency for Health Care Administration (Florida),AHCA,Organization,https://ahca.myflorida.com/
AOA Accreditation,American Osteopathic Association,"Accreditation by the American Osteopathic Association, covering hospitals, health systems, and educational programs that meet osteopathic medical standards.",American Osteopathic Association,AOA,Organization,https://osteopathic.org/accreditation/
APA Accreditation,American Psychological Association,"Accreditation by the American Psychological Association, applying to doctoral programs, internships, and postdoctoral residencies in psychology that meet professional training and education standards.",American Psychological Association,APA,Organization,https://accreditation.apa.org/
BOCUSA Accreditation,Board of Certification/Accreditation USA,"Accreditation by the Board of Certification/Accreditation (BOC), recognizing healthcare facilities and providers in areas such as orthotics, prosthetics, and durable medical equipment (DME) that meet quality and safety standards.",Board of Certification/Accreditation USA,BOCUSA,Organization,https://www.bocusa.org/
CAAS Accreditation,Commission on Accreditation of Ambulatory Services,"Accreditation by the Commission on Accreditation of Ambulance Services (CAAS), recognizing ambulance and emergency medical service organizations that meet national standards for patient care, safety, and operational quality.",Commission on Accreditation of Ambulatory Services,CAAS,Organization,https://www.caas.org/
TJC Accreditation,The Joint Commission,"Accreditation by The Joint Commission, indicating that a healthcare organization meets national standards for quality, safety, and performance in patient care.",The Joint Commission,TJC,Organization,https://www.jointcommission.org/en-us/accreditation
CIHQ Accreditation,Centers for Improvement in Healthcare Quality,"Accreditation by the Community Health Accreditation Program / CIHQ, recognizing healthcare organizations that comply with quality and safety standards, particularly in community and home health settings.",Centers for Improvement in Healthcare Quality,CIHQ,Organization,https://cihq.org/acc-default-hospitals.asp
DNV Accreditation,Det Norske Veritas,"Accreditation by DNV Healthcare, which integrates ISO 9001 quality management standards with healthcare regulations to ensure patient safety and continuous quality improvement.",Det Norske Veritas,DNV,Organization,https://www.dnv.com/services/hospital-accreditation-7516/
HFAP Accreditation,Healthcare Facilities Accreditation Program,"Accreditation by the Healthcare Facilities Accreditation Program, showing that hospitals and healthcare organizations comply with federal and state healthcare standards for quality and safety.",Healthcare Facilities Accreditation Program,HFAP,Organization,https://achc.org/
CAHC Accreditation,Commission on Accreditation for Home Care,"Accreditation by the Center for Accreditation of Healthcare Organizations (CAHC), ensuring healthcare providers meet defined standards of care and operational quality.",Commission on Accreditation for Home Care,CAHC,Organization,https://www.cahcusa.org/accreditation-3/
CCAC Accreditation,Continuing Care Accreditation Commission,"Accreditation by the Continuing Care Accreditation Commission (CCAC), recognizing long-term care, assisted living, and continuing care facilities that meet quality and safety standards.",Continuing Care Accreditation Commission,CCAC,Organization,https://carf.org/
CAP Accreditation,College of American Pathologists,"Accreditation by the College of American Pathologists, verifying that laboratory and pathology services meet high standards for accuracy, reliability, and safety.",College of American Pathologists,CAP,Organization,https://www.cap.org/
CARF Accreditation,Commission on Accreditation of Rehabilitation Facilities,"Accreditation by the Commission on Accreditation of Rehabilitation Facilities, confirming that rehabilitation, behavioral health, and community services meet international standards for quality and outcomes.",Commission on Accreditation of Rehabilitation Facilities,CARF,Organization,https://carf.org/
CHAP Accreditation,Community Health Accreditation Partner,"Accreditation by the Community Health Accreditation Partner (CHAP), recognizing home and community-based healthcare organizations that meet quality, safety, and compliance standards.",Community Health Accreditation Partner,CHAP,Organization,https://chapinc.org/
URAC Accreditation,Utilization Review Accreditation Commission ,"Accreditation by URAC, ensuring that healthcare organizations, including health plans, pharmacies, and telehealth providers, meet standards for quality, accountability, and operational performance.",Utilization Review Accreditation Commission ,URAC,Organization,https://www.urac.org/
CLIA Accreditation,Clinical Laboratory Improvement Amendments,"Accreditation under the Clinical Laboratory Improvement Amendments (CLIA), indicating that laboratories meet federal quality and safety standards for testing human specimens.",Centers for Medicare & Medicaid Services,CLIA,Organization,https://www.cms.gov/medicare/quality/clinical-laboratory-improvement-amendments
CMS Accreditation,Centers for Medicare & Medicaid Services,"Accreditation by the Centers for Medicare & Medicaid Services (CMS), which evaluates healthcare facilities to ensure compliance with federal regulations for quality and safety of care.",Centers for Medicare & Medicaid Services,CMS,Organization,https://www.cms.gov/
COA Accreditation,Council on Accreditation,"Accreditation by the Council on Accreditation (COA), applying to human and social service organizations, confirming that they meet standards for service quality and outcomes.",Council on Accreditation,COA,Organization,https://www.hillsidescares.org/about-hillside-cares/coa-accreditation/
COLA,Commission on Office Laboratory Accreditation,"Accreditation by the Commission on Office Laboratory Accreditation (COLA), verifying that physician office laboratories comply with federal and state regulations and maintain high standards for testing quality and safety.",Commission on Office Laboratory Accreditation,COLA,Organization,https://cola.org/accreditation/
