Value,Short Description,Long Description,Issuer,Acronym,applicableEntities,ReferenceURL
CCS - GC,General Community,"A community-based hospital without licensed pediatric beds, authorized to care only for adolescents aged 14 to 21. Length of stay is typically limited to no more than 21 days, except when care involves a CCS-approved Community or Intermediate Neonatal Intensive Care Unit (NICU)",,GC,Organization,https://www.dhcs.ca.gov/services/ccs/Pages/default.aspx
CCS - LTD,Limited,"Typically located in rural areas lacking other inpatient hospital options. These hospitals do not have licensed pediatric beds, and provide limited, acute, short-term care for children and adolescents, with expected stays of no more than five days",,LTD,Organization,https://www.dhcs.ca.gov/services/ccs/Pages/default.aspx
CCS - PC,Pediatric Community,"Previously known as Standard Hospital. This is a community hospital with licensed pediatric beds, providing care for children from birth up to age 21. Length of stay is limited to 21 days, except in cases involving CCS-approved NICUs (Community or Intermediate level)",,PC,Organization,https://www.dhcs.ca.gov/services/ccs/Pages/default.aspx
CCS - SPCL,Special Hospital,"Hospitals that are licensed exclusively for a particular specialty (e.g., orthopedic, rehabilitation, cardiac). Provide specialized inpatient care to CCS-eligible children who need services within that specialty. Care is generally limited to the approved specialty area, not broad pediatric coverage.",,SPCL,Organization,https://www.dhcs.ca.gov/services/ccs/Pages/default.aspx
CCS - STD,Standard Hospital,"Now known as Pediatric Community Hospital. This is a community hospital with licensed pediatric beds, providing care for children from birth up to age 21. Length of stay is limited to 21 days, except in cases involving CCS-approved NICUs (Community or Intermediate level)",,STD,Organization,https://www.dhcs.ca.gov/services/ccs/Pages/default.aspx
CCS - TT,Tertiary Hospital,"Previously known as Long-Term Hospital. These are hospitals with comprehensive pediatric facilities, including licensed pediatric beds and specialized pediatric services. Serve as referral centers for children with complex or severe medical conditions. Typically have multiple CCS-approved Special Care Centers (SCCs) on-site (e.g., cardiology, oncology, hemophilia). Provide care for CCS-eligible children from birth through 21 years, without the strict short-stay limits of community or limited hospitals.",,TT,Organization,https://www.dhcs.ca.gov/services/ccs/Pages/default.aspx
CCS - LG,Long Hospitam,"Now known as Tertiary Hospital. These are hospitals with comprehensive pediatric facilities, including licensed pediatric beds and specialized pediatric services. Serve as referral centers for children with complex or severe medical conditions. Typically have multiple CCS-approved Special Care Centers (SCCs) on-site (e.g., cardiology, oncology, hemophilia). Provide care for CCS-eligible children from birth through 21 years, without the strict short-stay limits of community or limited hospitals.",,LG,Organization,https://www.dhcs.ca.gov/services/ccs/Pages/default.aspx
DHSSE,Department of Health Service Site Evaluation,"A Department of Health (DOH) service site evaluation is an assessment, typically conducted by a state or local public health authority, to determine a site's suitability for a specific public health service. ",,DHSSE,Location,
ECP,Essential Community Provider,"An Essential Community Provider (ECP) is a healthcare provider serving predominantly low-income and medically underserved populations, such as Federally Qualified Health Centers and Ryan White HIV/AIDS providers. The Affordable Care Act (ACA) requires Qualified Health Plan (QHP) issuers to include ECPs in their networks to ensure access to care for these vulnerable groups. ",,ECP,Organization,https://www.qhpcertification.cms.gov/QHP/applicationmaterials/Essential-Community-Providers
MDCP,Medically Dependent Children Program,"The Medically Dependent Children Program (MDCP) is a Medicaid program providing services for children under 21 with significant health needs to receive care in their homes or community settings, rather than in institutions",,MDCP,Organization,https://www.navigatelifetexas.org/en/insurance-financial-help/medically-dependent-children-program-mdcp
OTP,Opioid Treatment Program,Opioid Treatment Programs (OTPs) provide medications for opioid use disorder (MOUD).,,OTP,Organization,
MIHP,Maternal Infant Health Program,"The Maternal Infant Health Program (MIHP) is a community-based health program designed to improve pregnancy outcomes and infant health. It typically provides home visits from nurses, social workers, or other trained professionals who support pregnant women and families with infants up to a certain age (often one year). Services may include prenatal and postpartum education, nutrition guidance, breastfeeding support, safe sleep practices, developmental screenings, and help accessing medical care or social resources.",,Maternal Infant Health Program,Organization,https://www.michigan.gov/mihp
Board Certification,Board Certification,"Recognition that a healthcare professional has met advanced education, training, and examination requirements in a specific medical or clinical specialty.",,,Practitioner,
