Value,Short Description,Long Description,Issuer,Acronym,applicableEntities,ReferenceURL
Medical License Certificate,Medical License Certificate,Generic code when no specific license type code is available,,MLC,Practitioner,
20A - Medical License Certificate,State-specific placeholder,Placeholder or state-specific license code (unknown type).,,20A,Practitioner,
A - Medical License Certificate,Assistant / Associate,General assistant or associate-level license.,,A,Practitioner,
AC - Medical License Certificate,Associate Counselor,Entry-level counselor under supervision.,,AC,Practitioner,
AFE - Medical License Certificate,Accredited Forensic Examiner,Forensic examiner credential for behavioral/legal work.,,AFE,Practitioner,
ANK - Medical License Certificate,Anesthetist,Anesthetist (legacy abbreviation for anesthesia provider).,,ANK,Practitioner,
AP - Medical License Certificate,Associate Psychologist / Assistant Practitioner,Associate psychologist or mental health assistant.,,AP,Practitioner,
AT - Medical License Certificate,Athletic Trainer,Licensed athletic trainer.,,AT,Practitioner,
AU - Medical License Certificate,Audiologist,Licensed audiologist.,,AU,Practitioner,
BCA - Medical License Certificate,Board Certified Analyst,Board-certified analyst credential.,,BCA,Practitioner,
BCB - Medical License Certificate,Board Certified Behavior Analyst,Board-certified behavior analyst.,,BCB,Practitioner,
BCD - Medical License Certificate,Board Certified Diplomate,Advanced board certification in clinical social work.,,BCD,Practitioner,
C - Medical License Certificate,Counselor,General counselor designation.,,C,Practitioner,
CDP - Medical License Certificate,Chemical Dependency Professional,Licensed professional in chemical dependency treatment.,,CDP,Practitioner,
CDR - Medical License Certificate,Chemical Dependency Recovery Counselor OR Commission on Dietetic Registration,Credential in substance use recovery or dietetics board.,,CDR,Practitioner,
CFE - Medical License Certificate,Certified Forensic Examiner,Certified examiner in forensic assessment.,,CFE,Practitioner,
CP - Medical License Certificate,Certified Prosthetist OR Counselor Professional,Certified prosthetist or professional counselor.,,CP,Practitioner,
CR - Medical License Certificate,Clinical Rehabilitation Counselor,Clinical rehabilitation counselor.,,CR,Practitioner,
DC - Medical License Certificate,Doctor of Chiropractic,Licensed doctor of chiropractic.,,DC,Practitioner,
DD - Medical License Certificate,Developmental Disabilities credential,Credential for developmental disabilities services.,,DD,Practitioner,
DO - Medical License Certificate,Doctor of Osteopathic Medicine,Doctor of osteopathic medicine.,,DO,Practitioner,
DP - Medical License Certificate,Doctor of Pharmacy OR Doctor of Podiatry,Doctor of pharmacy or podiatry (varies by state).,,DP,Practitioner,
DPM - Medical License Certificate,Doctor of Podiatric Medicine,Doctor of podiatric medicine.,,DPM,Practitioner,
E - Medical License Certificate,Examiner / Evaluator,General examiner or evaluator license.,,E,Practitioner,
EK - Medical License Certificate,Electrology or Electrolysis ,"Likely an electrologist license code (for electrolysis hair removal), though Florida officially uses EO instead.",,EK,Practitioner,
EL - Medical License Certificate,Electrolysis Laser Provider or Esthetician,Possibly an electrolysis laser provider or esthetician license; Florida uses ELP for laser electrolysis.,,EL,Practitioner,
EN - Medical License Certificate,Electrologist Nurse or Electrology ,Speculative — could denote an electrologist nurse or alternate electrology code; not officially documented.,,EN,Practitioner,
ES - Medical License Certificate,Esthetician or Electrologist Specialist,"Possibly an esthetician or electrology specialist license; in Florida, ES is used for “Limited Energy” (non-healthcare).",,ES,Practitioner,
EMT - Medical License Certificate,Emergency Medical Technician,Certified emergency medical technician.,,EMT,Practitioner,
G - Medical License Certificate,Geneticist / Generalist,Geneticist or generalist provider (varies).,,G,Practitioner,
GC - Medical License Certificate,Genetic Counselor,Licensed genetic counselor.,,GC,Practitioner,
GFE - Medical License Certificate,General Forensic Examiner,General forensic examiner credential.,,GFE,Practitioner,
