aton_type,value,system,systemIdType
ACCRED_AAAASF,PROV_AAAASF_ACCRED,PORTICO,Accreditation
ACCRED_AAAHC,PROV_AAAHC_ACCRED,PORTICO,Accreditation
ACCRED_AASM,PROV_AASM_ACCRED,PORTICO,Accreditation
ACCRED_ABCPO,PROV_ABCPO_ACCRED,PORTICO,Accreditation
ACCRED_ACHC,PROV_ACHC_ACCRED,PORTICO,Accreditation
ACCRED_ACR,PROV_ACR_ACCRED,PORTICO,Accreditation
ACCRED_AHCA,PROV_AHCA_ACCRED,PORTICO,Accreditation
ACCRED_AOA,PROV_AOA_ACCRED,PORTICO,Accreditation
ACCRED_APA,PROV_APA_ACCRED,PORTICO,Accreditation
ACCRED_BOCUSA,PROV_BOCUSA_ACCRED,PORTICO,Accreditation
ACCRED_CAAS,CAAS_ACCRED,PORTICO,Accreditation
ACCRED_TJC,PROV_JCAHO_ACCRED,PORTICO,Accreditation
ACCRED_CIHQ,PROV_CIHQ_ACCRED,PORTICO,Accreditation
ACCRED_DNV,PROV_DNV_ACCRED,PORTICO,Accreditation
ACCRED_HFAP,PROV_HFAP_ACCRED,PORTICO,Accreditation
ACCRED_CAHCA,PROV_CAHCA_ACCRED,PORTICO,Accreditation
ACCRED_CCAC,"PROV_CCAC_ACCRED	",PORTICO,Accreditation
ACCRED_CAP,PROV_CAP_ACCRED,PORTICO,Accreditation
ACCRED_CARF,PROV_CARF_ACCRED,PORTICO,Accreditation
ACCRED_CHAP,PROV_CHAP_ACCRED,PORTICO,Accreditation
ACCRED_URAC,PROV_URAC_ACCRED,PORTICO,Accreditation
ACCRED_CLIA,PROV_CLIA_ACCRED,PORTICO,Accreditation
ACCRED_CMS,CMS_ACCRED,PORTICO,Accreditation
ACCRED_COA,PROV_COA_ACCRED,PORTICO,Accreditation
ACCRED_COLA,PROV_COLA_ACCRED,PORTICO,Accreditation
CERT_CCS_GC,PROV_CCS_GC,PORTICO,Certification
CERT_CCS_LTD,PROV_CCS_LTD,PORTICO,Certification
CERT_CCS_PC,PROV_CCS_PC,PORTICO,Certification
CERT_CCS_SPCL,PROV_CCS_SPCL,PORTICO,Certification
CERT_CCS_STD,PROV_CCS_STD,PORTICO,Certification
CERT_CCS_TT,PROV_CCS_TT,PORTICO,Certification
CERT_CCS_LG,PROV_CCS_LG,PORTICO,Certification
CERT_DHSE,PROV_DHS_SE,PORTICO,Certification
CERT_ECP,PROV_ECP_TYPE,PORTICO,Certification
CERT_MDCP,PROV_MDCP,PORTICO,Certification
CERT_OTP,PROV_OPOID_TRT_CNTR,PORTICO,Certification
CERT_MIHP,PROV_MIHP,PORTICO,Certification
LICE_20A_MLC,LIC_TYPE_20A,PORTICO,License
LICE_A_MLC,LIC_TYPE_A,PORTICO,License
LICE_AC_MLC,LIC_TYPE_AC,PORTICO,License
LICE_AFE_MLC,LIC_TYPE_AFE,PORTICO,License
LICE_ANK_MLC,LIC_TYPE_ANK,PORTICO,License
LICE_AP_MLC,LIC_TYPE_AP,PORTICO,License
