code,value,description,classification,issuer,acronym,applicableEntities,referenceURL
ACCRED_AAAASF,American Association for Accreditation of Ambulatory Surgery Facilities,"Accreditation from the American Association for Accreditation of Ambulatory Surgery Facilities, verifying that an outpatient surgery or procedural facility meets nationally recognized standards for safety and quality of care.",Accreditation,American Association for Accreditation of Ambulatory Surgery Facilities,AAAASF,Organization,https://www.quada.org/
ACCRED_AAAHC,Accreditation Association for Ambulatory Health Care,"Accreditation from the American Association for Accreditation of Ambulatory Surgery Facilities, verifying that an outpatient surgery or procedural facility meets nationally recognized standards for safety and quality of care.",Accreditation,Accreditation Association for Ambulatory Health Care,AAAHC,Organization,https://www.aaahc.org/
ACCRED_AASM,Accreditation Association for Ambulatory Health Care,"Accreditation from the American Association for Accreditation of Ambulatory Surgery Facilities, verifying that an outpatient surgery or procedural facility meets nationally recognized standards for safety and quality of care.",Accreditation,American Academy of Sleep Medicine,AASM,Organization,https://aasm.org/accreditation/
ACCRED_ABCPO,"American Board for Certification in Orthotics, Prosthetics & Pedorthics","Accreditation by the American Board for Certification in Orthotics, Prosthetics & Pedorthics, ensuring that facilities and practitioners meet standards for providing orthotic, prosthetic, and pedorthic care.",Accreditation,"American Board for Certification in Orthotics, Prosthetics & Pedorthics",ABCPO,Organization,https://www.abcop.org/
ACCRED_ACHC,Accreditation Commission for Health Care,"Accreditation by the Accreditation Commission for Health Care, confirming that a healthcare organization meets standards for quality, safety, and performance across services like home health, hospice, and pharmacies.",Accreditation,Accreditation Commission for Health Care,ACHC,Organization,https://achc.org/
ACCRED_ACR,American College of Radiology,"Accreditation by the American College of Radiology, validating that imaging facilities (e.g., MRI, CT, mammography) meet standards for image quality, staff qualifications, equipment, and safety.",Accreditation,American College of Radiology,ACR,Organization,https://www.acr.org/Accreditation
ACCRED_AHCA,Agency for Health Care Administration (Florida),"Accreditation by the American Health Care Association, recognizing long-term care, assisted living, and rehabilitation facilities that meet quality standards for resident care.",Accreditation,Agency for Health Care Administration (Florida),AHCA,Organization,https://ahca.myflorida.com/
ACCRED_AOA,American Osteopathic Association,"Accreditation by the American Osteopathic Association, covering hospitals, health systems, and educational programs that meet osteopathic medical standards.",Accreditation,American Osteopathic Association,AOA,Organization,https://osteopathic.org/accreditation/
ACCRED_APA,American Psychological Association,"Accreditation by the American Psychological Association, applying to doctoral programs, internships, and postdoctoral residencies in psychology that meet professional training and education standards.",Accreditation,American Psychological Association,APA,Organization,https://accreditation.apa.org/
ACCRED_BOCUSA,Board of Certification/Accreditation USA,"Accreditation by the Board of Certification/Accreditation (BOC), recognizing healthcare facilities and providers in areas such as orthotics, prosthetics, and durable medical equipment (DME) that meet quality and safety standards.",Accreditation,Board of Certification/Accreditation USA,BOCUSA,Organization,https://www.bocusa.org/
ACCRED_CAAS,Commission on Accreditation of Ambulatory Services,"Accreditation by the Commission on Accreditation of Ambulance Services (CAAS), recognizing ambulance and emergency medical service organizations that meet national standards for patient care, safety, and operational quality.",Accreditation,Commission on Accreditation of Ambulatory Services,CAAS,Organization,https://www.caas.org/
ACCRED_TJC,The Joint Commission,"Accreditation by The Joint Commission, indicating that a healthcare organization meets national standards for quality, safety, and performance in patient care.",Accreditation,The Joint Commission,TJC,Organization,https://www.jointcommission.org/en-us/accreditation
ACCRED_CIHQ,Centers for Improvement in Healthcare Quality,"Accreditation by the Community Health Accreditation Program / CIHQ, recognizing healthcare organizations that comply with quality and safety standards, particularly in community and home health settings.",Accreditation,Centers for Improvement in Healthcare Quality,CIHQ,Organization,https://cihq.org/acc-default-hospitals.asp
ACCRED_DNV,Det Norske Veritas,"Accreditation by DNV Healthcare, which integrates ISO 9001 quality management standards with healthcare regulations to ensure patient safety and continuous quality improvement.",Accreditation,Det Norske Veritas,DNV,Organization,https://www.dnv.com/services/hospital-accreditation-7516/
